patent_id,citation_patent_id,fwd_cit_bwd
10138291,4965188,1
10138485,4415732,0
10138511,6023540,1
10138514,6787308,1
10138518,4683195,0
10138524,4683195,0
10138524,4965188,1
10139012,4599315,0
10139012,4683195,0
10139163,4733665,0
10139399,4816567,0
10139400,5171534,0
10139561,7903917,1
10139651,4575330,0
10140264,6108703,0
10140424,5077210,0
10141314,5297148,0
10141939,4870302,0
10142886,7339900,0
10143186,5770429,0
10143186,5939598,0
10143471,7807619,0
10143502,6770074,1
10143541,4575330,0
10143552,4733665,1
10143574,4733665,0
10143655,5514646,1
10143748,4816567,0
10143752,4816397,0
10143752,4816567,0
10143756,4816567,0
10144181,4575330,0
10144352,5471515,0
10144353,5471515,0
10144754,6787308,1
10144779,5811097,0
10144781,4683195,0
10144781,4816567,0
10144781,6331415,1
10144784,5179017,1
10144933,4415732,0
10144950,6787308,0
10144961,6787308,1
10144969,4683195,0
10144969,4965188,1
10145811,4733665,0
10145811,4733665,0
10146906,4683195,0
10146906,4965188,1
10146997,5291560,0
10147088,5960411,0
10147138,5960411,1
10148066,4575330,0
10148271,4870302,0
10148726,5960411,1
10149399,5297148,0
10149461,5770429,1
10149462,5770429,0
10149462,5939598,1
10149673,6770074,1
10149714,4784135,0
10149761,4733665,1
10149773,4733665,0
10149776,4733665,1
10149905,4415732,0
10149968,4733665,1
10150232,3953566,0
10150253,4575330,0
10150794,4733665,0
10150809,4683195,0
10150809,4736866,0
10150809,4816397,0
10150809,4816567,0
10150809,5939598,1
10150811,4816567,0
10150813,4816567,0
10150813,5770429,0
10150818,4816567,0
10150818,5061620,0
10150872,6787308,0
10150993,6787308,0
10150996,4683195,0
10150996,4965188,1
10150996,6787308,0
10151003,6787308,0
10151955,5961804,0
10151955,6124851,0
10151974,5061049,0
10152031,4901221,0
10152477,6285999,0
10152520,6285999,0
10152529,5077210,0
10152756,5960411,0
10153365,5998833,0
10153969,6108703,1
10154315,5960411,0
10154900,4733665,0
10154906,4733665,1
10155688,6023540,1
10155809,5770429,0
10155809,5939598,0
10155816,5939598,0
10155820,4816567,0
10155882,4575330,0
10155987,4816567,0
10155992,4683195,0
10155992,4965188,1
10155992,6787308,0
10156562,4816567,0
10156900,5291560,0
10157135,6108703,1
10157280,6108703,1
10158729,6108703,1
10159546,4575330,0
10159557,4733665,1
10159567,4733665,0
10159579,6770074,1
10159601,4733665,0
10159644,5514646,1
